2024-05-15 18:57:52: 20.000000 USD -> 334.810000 MXN
2024-05-15 18:58:15: 60.000000 USD -> 1004.430000 MXN
2024-05-15 19:08:57: 49.000000 USD -> 820.284500 MXN
2024-05-15 19:10:21: 49.000000 MXN -> 2.932650 USD
2024-07-04 10:00:20: 100,00 USD -> 1818,02 MXN
2024-07-04 10:19:16: 11500,00 USD -> 10889906,60 CLP
2024-07-04 10:19:37: 1,00 USD -> 946,95 CLP
2024-07-04 21:19:13: 11500,00 USD -> 10811213,25 CLP
2024-07-04 21:19:33: 1,00 USD -> 940,11 CLP
2024-07-04 21:20:31: 1,00 CLP -> 0,00 USD
2024-07-04 21:21:02: 100,00 CLP -> 0,11 USD
2024-07-04 21:21:19: 1000,00 CLP -> 1,06 USD
2024-07-04 21:21:32: 940,00 CLP -> 1,00 USD
2024-07-04 21:21:56: 950,00 CLP -> 0,94 EUR
2024-07-04 21:22:09: 1000,00 CLP -> 0,99 EUR
2024-07-04 21:22:35: 1050,00 CLP -> 1,03 EUR
2024-07-04 21:33:30: 11500,00 USD -> 10811213,25 CLP
2024-07-04 21:56:56: 11500,00 USD -> 10811213,25 CLP
2024-07-04 21:57:22: 1000,00 USD -> 940105,50 CLP
